[1.1686232378608092, 0.0, 'closing forearm', 1447936820.116, 0.0, 0.0, 'arm moving up', 1447936820.019, 0.07079595068854094, 0.0, 'walking backward', 1447936819.918, 1.0978272871722683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.1686232378608092, 0.0, 'hand above elbow', 1447936820.116, 0.0, 0.0, 'closing forearm', 1447936820.116, 0.0, 0.0, 'arm moving up', 1447936820.019, 0.07079595068854094, 0.0, 'walking backward', 1447936819.918, 1.0978272871722683, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.2601964988464043, 0.0, 'opening forearm', 1447936820.22, 0.09157326098559504, 0.0, 'hand above elbow', 1447936820.116, 0.0, 0.0, 'closing forearm', 1447936820.116, 0.0, 0.0, 'arm moving up', 1447936820.019, 0.07079595068854094, 0.0, 'walking backward', 1447936819.918, 1.0978272871722683, 0.0]
[1.310289004861791, 0.0, 'waving', 1447936820.318, 0.05009250601538673, 0.0, 'opening forearm', 1447936820.22, 0.09157326098559504, 0.0, 'hand above elbow', 1447936820.116, 0.0, 0.0, 'closing forearm', 1447936820.116, 0.0, 0.0, 'arm moving up', 1447936820.019, 0.07079595068854094, 0.0]
[1.368317736486585, 0.0, 'arm stopped', 1447936820.318, 0.05802873162479405, 0.0, 'waving', 1447936820.318, 0.05009250601538673, 0.0, 'opening forearm', 1447936820.22, 0.09157326098559504, 0.0, 'hand above elbow', 1447936820.116, 0.0, 0.0, 'closing forearm', 1447936820.116, 0.0, 0.0]
[1.368317736486585, 0.0, 'closing forearm', 1447936820.318, 0.0, 0.0, 'arm stopped', 1447936820.318, 0.05802873162479405, 0.0, 'waving', 1447936820.318, 0.05009250601538673, 0.0, 'opening forearm', 1447936820.22, 0.09157326098559504, 0.0, 'hand above elbow', 1447936820.116, 0.0, 0.0]
[1.4071526762994717, 0.0, 'forearm stopped', 1447936820.519, 0.03883493981288666, 0.0, 'closing forearm', 1447936820.318, 0.0, 0.0, 'arm stopped', 1447936820.318, 0.05802873162479405, 0.0, 'waving', 1447936820.318, 0.05009250601538673, 0.0, 'opening forearm', 1447936820.22, 0.09157326098559504, 0.0]
[1.4404265288251286, 0.0, 'no walking', 1447936820.621, 0.033273852525656844, 0.0, 'forearm stopped', 1447936820.519, 0.03883493981288666, 0.0, 'closing forearm', 1447936820.318, 0.0, 0.0, 'arm stopped', 1447936820.318, 0.05802873162479405, 0.0, 'waving', 1447936820.318, 0.05009250601538673, 0.0]
[1.4964848500381012, 0.0, 'opening forearm', 1447936820.717, 0.056058321212972606, 0.0, 'no walking', 1447936820.621, 0.033273852525656844, 0.0, 'forearm stopped', 1447936820.519, 0.03883493981288666, 0.0, 'closing forearm', 1447936820.318, 0.0, 0.0, 'arm stopped', 1447936820.318, 0.05802873162479405, 0.0]
[1.4964848500381012, 0.0, 'forearm stopped', 1447936820.815, 0.0, 0.0, 'opening forearm', 1447936820.717, 0.056058321212972606, 0.0, 'no walking', 1447936820.621, 0.033273852525656844, 0.0, 'forearm stopped', 1447936820.519, 0.03883493981288666, 0.0, 'closing forearm', 1447936820.318, 0.0, 0.0]
