dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
2.7661,0,5,0,-0.069524,0,1,0.097,-0.32754,0,15,0.204,-0.42186,0,10,0.403,-0.11015,0,12,-0.901,0,0,5
2.3365,0,5,0,0.73097,0,1,0.101,0.73097,0,9,0.801,0.070571,0,5,-0.302,-0.068522,0,8,-1.606,-0.068522,0,7
2.0506,0,16,0,0.02109,0,4,0.303,0.014931,0,3,-0.201,0.014931,0,15,-0.307,0.17665,0,12,-0.503,0.17665,0,1
4.2221,0,8,0,-0.019399,0,12,0.695,0.18381,0,9,-0.293,0.21747,0,15,1.105,-0.004982,0,14,-3.202,-0.046869,0,2
2.9327,0,8,0,0.1826,0,4,0.299,0.22634,0,2,-0.2,0.89691,0,4,0.605,0.068097,0,9,-1.201,0.12722,0,7
3.5003,0,16,0,-0.19896,0,4,0.3,-0.055622,0,10,-0.299,-0.055622,0,3,-0.099,-0.00064404,0,12,-0.405,0,0,5
3.9539,0,10,0,-0.13107,0,5,0.4,0.0086681,0,4,-0.4,0.0086681,0,8,-0.299,0.021596,0,3,-0.5,0.021596,0,1
1.5319,0,5,0,-0.068997,0,4,0,-0.068997,0,7,0.101,-0.11494,0,2,-0.101,-0.11494,0,4,-0.0020001,-0.11494,0,4
3.2262,0,15,0,0.086097,0,4,0,0.086097,0,2,0.103,0.082288,0,14,-0.0029998,0.79912,0,16,-0.203,0.79912,0,1
1.5939,0,7,0,-0.053044,0,2,0,-0.053044,0,8,0.1,-0.053044,0,12,0.299,-0.19361,0,15,-0.101,-0.04431,0,4
1.9041,0,4,0,-0.015252,0,5,0.097,-0.0051816,0,3,-0.096,-0.0051816,0,1,0.0039999,0.081919,0,4,1.597,0.013147,0,6
3.8305,0,9,0,0.081448,0,5,0.504,0.00044837,0,8,-0.408,-0.0015178,0,5,-0.397,-0.028302,0,14,-0.603,0.0016056,0,1
1.7929,0,4,0,-0.0115,0,6,0.198,-0.015148,0,5,-0.198,-0.015148,0,1,-0.098,-0.013586,0,3,-0.298,-0.013586,0,4
